orgao,mes,ds_fonte_recurso,ds_cd_aplicacao_fixo,ds_alinea,ds_subalinea,vl_arrecadacao,cidade,ano
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,11120800 - IMPOSTO SOBRE A TRANSMISSÃO INTER VIVOS - BENS IMÓVEIS E DIREITOS REAIS SOBRE IMÓVEIS,NA,"300,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"22,24",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17213600 - TRANSFERÊNCIA FINANCEIRA DO ICMS - DESONERAÇÃO - L.C. Nº 87-96,NA,"-188,08",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"465,20",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"2.230,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19319900 - RECEITA DA DÍVIDA ATIVA DE OUTROS TRIBUTOS,19319901 - RECEITA DA DÍVIDA ATIVA DE OUTROS TRIBUTOS - PRINCIPAL,"3.347,12",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"1,19",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17210100 - PARTICIPAÇÃO NA RECEITA DA UNIÃO,17210102 - COTA-PARTE FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS,"665.837,49",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19119900 - MULTAS E JUROS DE MORA DE OUTROS TRIBUTOS,19119901 - MULTAS E JUROS DE MORA DE OUTROS TRIBUTOS,"13,05",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,11219900 - OUTRAS TAXAS PELO EXERCÍCIO DE PODER DE POLÍCIA,NA,"645,05",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"23,54",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17220100 - PARTICIPAÇÃO NA RECEITA DOS ESTADOS,17220102 - COTA-PARTE DO IPVA,"-13.151,06",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"0,05",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,17213400 - TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL - FNAS,NA,"6.000,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,24729900 - OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS,NA,"100.000,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,510 - ASSISTÊNCIA SOCIAL - GERAL,NA,NA,"3.050,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"4.430,83",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19189900 - OUTRAS MULTAS E JUROS DE MORA,NA,"250,49",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"0,40",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,260 - EDUCAÇÃO - FUNDEB - RECURSOS PRÓPRIOS,17240100 - TRANSFERÊNCIA DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO  DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB,NA,"91.088,27",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,130 - CIDE - CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMÍNIO ECONÔMICO,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250109 - RECEITA DE REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS - CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMÍNIO ECONÔMICO (CIDE),"4,89",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,"16004100 - SERVIÇOS DE CAPTAÇÃO, ADUÇÃO, TRATAMENTO, RESERVA E DISTRIBUIÇÃO DE ÁGUA",NA,"10.215,04",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17219900 - OUTRAS TRANSFERÊNCIAS DA UNIÃO,NA,"1.457,46",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,11130500 - IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA,NA,"3.612,64",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"7,26",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19329900 - RECEITA DA DÍVIDA ATIVA NÃO TRIBUTÁRIA DE OUTRAS RECEITAS,19329901 - RECEITA DA DÍVIDA ATIVA NÃO-TRIBUTÁRIA DE OUTRAS RECEITAS - PRINCIPAL,"4.990,02",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"4,36",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"1.366,75",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"1,07",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17210100 - PARTICIPAÇÃO NA RECEITA DA UNIÃO,17210102 - COTA-PARTE FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS,"-133.061,28",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19131100 - MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,NA,"335,62",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,11222100 - TAXAS DE SERVIÇOS CADASTRAIS,NA,"38,30",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"10,92",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17220100 - PARTICIPAÇÃO NA RECEITA DOS ESTADOS,17220104 - COTA-PARTE DO IPI SOBRE EXPORTAÇÃO,"1.765,22",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"49,93",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,17213400 - TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL - FNAS,NA,"500,00",parisi,2014
FUNDO MUNICIPAL DE SEGURIDADE SOCIAL - PARISI,Janeiro,03 - RECURSOS PRÓPRIOS DE FUNDOS ESPECIAIS DE DESPESA-VINCULADOS,600 - RPPS - RECURSOS ESPECÍFICOS - OUTRAS FONTES,12102900 - CONTRIBUIÇÕES PARA O REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO,12102907 - CONTRIBUIÇÃO DO SERVIDOR ATIVO PARA O REGIME PRÓPRIO DE PREVIDÊNCIA,"69.468,03",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,11120200 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,NA,"1.934,07",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"0,04",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"2.546,85",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19229900 - OUTRAS RESTITUIÇÕES,NA,"87,60",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,"16004200 - SERVIÇOS DE COLETA, TRANSPORTE, TRATAMENTO E DESTINO FINAL DE ESGOTOS",NA,"4.287,52",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,17629900 - OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS DO ESTADO,NA,"2.688,60",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,220 - ENSINO FUNDAMENTAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"176,41",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17220100 - PARTICIPAÇÃO NA RECEITA DOS ESTADOS,17220101 - COTA-PARTE DO ICMS,"167.036,31",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,320 - SAÚDE - TAXAS,11211700 - TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA,NA,"152,13",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"109,98",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19909900 - OUTRAS RECEITAS,NA,"59.920,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"73,99",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"9.600,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19131300 - MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DO IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISS,NA,"7,53",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"34,63",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17210100 - PARTICIPAÇÃO NA RECEITA DA UNIÃO,17210105 - COTA-PARTE DO IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL,"1.230,73",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,11229000 - TAXA DE LIMPEZA PÚBLICA,NA,"1.159,54",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,500 - ASSISTÊNCIA SOCIAL - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"176,98",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17220100 - PARTICIPAÇÃO NA RECEITA DOS ESTADOS,17220104 - COTA-PARTE DO IPI SOBRE EXPORTAÇÃO,"-353,05",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,11120400 - IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA,11120431 - RETIDO NAS FONTES - TRABALHO,"6.868,66",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"0,02",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,17213500 - TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,17213501 - TRANSFERÊNCIAS DO SALÁRIO-EDUCAÇÃO,"17.780,06",parisi,2014
FUNDO MUNICIPAL DE SEGURIDADE SOCIAL - PARISI,Janeiro,03 - RECURSOS PRÓPRIOS DE FUNDOS ESPECIAIS DE DESPESA-VINCULADOS,600 - RPPS - RECURSOS ESPECÍFICOS - OUTRAS FONTES,13281000 - REMUNERAÇÃO DOS INVESTIMENTOS DO REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR EM RENDA FIXA,NA,"38.999,80",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,200 - EDUCAÇÃO - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"7,81",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"6.060,50",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19311100 - RECEITA DA DÍVIDA ATIVA DO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - IPTU,NA,"2.515,23",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,16004500 - SERVIÇOS DE PREPARAÇÃO DA TERRA EM PROPRIEDADES PARTICULARES,NA,"1.532,70",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19113800 - MULTAS E JUROS DE MORA DO IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - IPTU,NA,"1,85",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,310 - SAÚDE - GERAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"96,73",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"267,18",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17220100 - PARTICIPAÇÃO NA RECEITA DOS ESTADOS,17220101 - COTA-PARTE DO ICMS,"-33.407,25",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,"11212500 - TAXA DE LICENÇA PARA FUNCIONAMENTO DE ESTABELECIMENTOS COMERCIAIS, INDÚSTRIAS E PRESTADORAS DE SERVIÇOS",NA,"169,86",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"13.200,00",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,24210100 - SUS PARTICIPAÇÃO NA RECEITA DA UNIÃO,NA,"59.952,00",parisi,2014
